,fast_period,slow_period,sig_period,return,dd,sharpe
255,8,32,14,-22.59,13.53,-2.41
256,8,33,7,-31.50,17.36,-7.52
257,8,33,8,-31.36,17.27,-6.54
258,8,33,9,-27.48,14.95,-8.08
259,8,33,10,-25.77,13.94,-4.33
260,8,33,11,-25.77,13.94,-4.33
261,8,33,12,-22.07,13.49,-2.25
262,8,33,13,-23.12,13.48,-2.67
263,8,33,14,-20.71,13.44,-1.90
264,8,34,7,-33.24,18.42,-5.70
265,8,34,8,-29.03,15.87,-4.97
266,8,34,9,-24.38,13.14,-3.76
267,8,34,10,-27.97,15.24,-7.19
268,8,34,11,-22.79,13.34,-2.55
269,8,34,12,-22.86,13.46,-2.58
270,8,34,13,-20.71,13.44,-1.90
271,8,34,14,-23.09,13.48,-2.66
272,8,35,7,-26.46,14.35,-183.06
273,8,35,8,-29.03,15.87,-4.97
274,8,35,9,-24.38,13.14,-3.76
275,8,35,10,-24.89,13.43,-3.57
276,8,35,11,-24.89,13.43,-3.57
277,8,35,12,-22.69,13.45,-2.52
278,8,35,13,-25.25,13.64,-3.78
279,8,35,14,-25.25,13.64,-3.78
280,8,36,7,-26.46,14.35,-183.06
281,8,36,8,-29.03,15.87,-4.97
282,8,36,9,-24.38,13.14,-3.76
283,8,36,10,-24.89,13.43,-3.57
284,8,36,11,-22.62,13.32,-2.50
285,8,36,12,-25.01,13.50,-3.63
286,8,36,13,-25.25,13.64,-3.78
287,8,36,14,-18.65,13.49,-1.44
288,8,37,7,-30.67,16.86,-7.00
289,8,37,8,-29.03,15.87,-4.97
290,8,37,9,-24.38,13.14,-3.76
291,8,37,10,-22.62,13.32,-2.50
292,8,37,11,-25.01,13.50,-3.63
293,8,37,12,-25.01,13.50,-3.63
294,8,37,13,-18.65,13.49,-1.44
295,8,37,14,-16.35,13.53,-1.07
296,8,38,7,-30.67,16.86,-7.00
297,8,38,8,-29.03,15.87,-4.97
298,8,38,9,-24.38,13.14,-3.76
299,8,38,10,-22.62,13.32,-2.50
300,8,38,11,-25.01,13.50,-3.63
301,8,38,12,-15.97,13.50,-1.03
302,8,38,13,-13.60,13.53,-0.77
303,8,38,14,-17.17,13.45,-1.20
