,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
274,5,21,2,20,15,45,-46.59,28.04,-5.07
275,5,21,2,25,15,25,-10.06,20.32,-0.58
276,5,21,2,25,15,30,-21.97,20.42,-1.44
277,5,21,2,25,15,35,-27.11,24.57,-1.36
278,5,21,2,25,15,40,-31.13,26.56,-1.34
279,5,21,2,25,15,45,-45.81,28.00,-4.52
280,5,21,2,10,20,25,-28.62,26.80,-4.74
281,5,21,2,10,20,30,-37.62,26.60,-15.29
282,5,21,2,10,20,35,-41.93,30.55,-5.98
283,5,21,2,10,20,40,-41.60,32.46,-2.82
284,5,21,2,10,20,45,-54.78,33.83,-21.45
285,5,21,2,15,20,25,-16.61,20.83,-1.15
286,5,21,2,15,20,30,-26.30,20.16,-2.65
287,5,21,2,15,20,35,-31.29,24.40,-2.15
288,5,21,2,15,20,40,-31.02,26.55,-1.32
289,5,21,2,15,20,45,-46.70,28.11,-5.02
290,5,21,2,20,20,25,-16.45,21.16,-1.04
291,5,21,2,20,20,30,-26.35,20.61,-2.29
292,5,21,2,20,20,35,-31.22,24.76,-1.94
293,5,21,2,20,20,40,-33.51,26.79,-1.58
294,5,21,2,20,20,45,-46.92,28.25,-4.91
295,5,21,2,25,20,25,-10.62,20.57,-0.59
296,5,21,2,25,20,30,-22.36,20.62,-1.43
297,5,21,2,25,20,35,-27.61,24.83,-1.35
298,5,21,2,25,20,40,-31.62,26.83,-1.33
299,5,21,2,25,20,45,-46.13,28.22,-4.39
300,5,21,3,10,10,25,-25.87,24.81,-9.12
301,5,21,3,10,10,30,-33.01,23.91,-13.05
302,5,21,3,10,10,35,-36.55,27.38,-32.91
303,5,21,3,10,10,40,-35.96,29.25,-4.07
304,5,21,3,10,10,45,-49.65,30.61,-21.66
305,5,21,3,15,10,25,-18.40,23.59,-4.37
306,5,21,3,15,10,30,-25.75,22.64,-2.52
307,5,21,3,15,10,35,-25.82,24.14,-2.50
308,5,21,3,15,10,40,-21.28,24.21,-3.59
309,5,21,3,15,10,45,-35.65,24.18,-1.77
310,5,21,3,20,10,25,-10.20,17.61,-1.11
311,5,21,3,20,10,30,-17.76,16.07,-5.25
312,5,21,3,20,10,35,-21.84,19.75,-3.17
313,5,21,3,20,10,40,-24.28,21.83,-2.01
314,5,21,3,20,10,45,-38.64,23.34,-18.18
315,5,21,3,25,10,25,-6.26,18.18,-0.49
316,5,21,3,25,10,30,-14.14,16.65,-1.68
317,5,21,3,25,10,35,-18.47,20.34,-1.51
318,5,21,3,25,10,40,-23.12,22.37,-1.50
319,5,21,3,25,10,45,-38.61,23.84,-9.62
320,5,21,3,10,15,25,-25.60,25.26,-8.36
321,5,21,3,10,15,30,-33.25,24.05,-14.64
322,5,21,3,10,15,35,-37.83,28.12,-15.09
323,5,21,3,10,15,40,-37.25,29.97,-3.66
324,5,21,3,10,15,45,-50.69,31.33,-51.65
325,5,21,3,15,15,25,-18.12,24.05,-4.56
326,5,21,3,15,15,30,-25.75,22.64,-2.52
327,5,21,3,15,15,35,-25.82,24.14,-2.50
328,5,21,3,15,15,40,-21.28,24.21,-3.59
