,pfast,pmid,pslow,return,dd,sharpe
313,4,14,34,-28.20,24.52,-0.79
314,4,14,35,-27.76,24.07,-0.80
315,4,14,36,-16.18,17.09,-0.73
316,4,14,37,-16.16,17.16,-0.73
317,4,14,38,-15.91,17.07,-0.72
318,4,14,39,-15.93,17.00,-0.72
319,4,14,40,-12.21,17.56,-0.34
320,4,15,21,-36.28,32.16,-0.85
321,4,15,22,-36.07,31.22,-0.81
322,4,15,23,-33.45,30.26,-0.75
323,4,15,24,-24.29,23.79,-0.93
324,4,15,25,-52.21,39.89,-0.81
325,4,15,26,-52.60,39.70,-0.84
326,4,15,27,-56.92,42.49,-0.89
327,4,15,28,-41.04,34.58,-0.85
328,4,15,29,-31.45,27.27,-0.64
329,4,15,30,-26.42,25.30,-0.55
330,4,15,31,-25.94,25.20,-0.54
331,4,15,32,-26.23,25.68,-0.52
332,4,15,33,-11.81,17.93,-0.32
333,4,15,34,-15.92,17.46,-0.70
334,4,15,35,-15.61,16.81,-0.71
335,4,15,36,-16.18,17.09,-0.73
336,4,15,37,-43.80,29.66,-2.64
337,4,15,38,-45.06,30.61,-2.79
338,4,15,39,-45.20,30.72,-2.80
339,4,15,40,-38.08,28.15,-0.86
340,4,16,21,-35.65,36.11,-0.85
341,4,16,22,-32.80,34.26,-0.80
342,4,16,23,-30.15,32.96,-0.73
343,4,16,24,-24.29,23.79,-0.93
344,4,16,25,-49.19,43.50,-0.80
345,4,16,26,-31.18,33.52,-0.75
346,4,16,27,-34.26,35.37,-0.81
347,4,16,28,-37.54,37.94,-0.84
348,4,16,29,16.18,25.56,0.26
349,4,16,30,17.73,25.30,0.29
350,4,16,31,19.02,25.20,0.31
351,4,16,32,24.11,17.82,0.52
352,4,16,33,23.13,17.93,0.49
353,4,16,34,20.90,17.46,0.46
354,4,16,35,-16.49,16.10,-0.72
355,4,16,36,-17.05,16.36,-0.73
356,4,16,37,-17.05,16.36,-0.73
357,4,16,38,-16.82,16.21,-0.73
358,4,16,39,-16.82,16.21,-0.73
359,4,16,40,-17.84,16.77,-0.75
360,4,17,21,-35.65,36.11,-0.85
361,4,17,22,-32.80,34.26,-0.80
362,4,17,23,-53.53,46.76,-0.83
363,4,17,24,-24.29,23.79,-0.93
364,4,17,25,-49.19,43.50,-0.80
365,4,17,26,-49.60,43.30,-0.83
366,4,17,27,-53.85,46.36,-0.88
367,4,17,28,-56.65,48.60,-0.89
368,4,17,29,16.18,25.56,0.26
369,4,17,30,23.89,17.30,0.52
370,4,17,31,25.15,17.05,0.56
371,4,17,32,24.11,17.82,0.52
372,4,17,33,-17.11,17.08,-0.69
373,4,17,34,-16.86,16.69,-0.70
374,4,17,35,-16.49,16.10,-0.72
375,4,17,36,-17.05,16.36,-0.73
376,4,17,37,-17.05,16.36,-0.73
377,4,17,38,-16.82,16.21,-0.73
378,4,17,39,-16.82,16.21,-0.73
379,4,17,40,-17.84,16.77,-0.75
380,4,18,21,27.21,11.17,1.06
