,fast_period,slow_period,sig_period,return,dd,sharpe
431,9,34,14,81.19,10.06,1.45
432,9,35,7,-17.43,21.03,-0.51
433,9,35,8,-17.43,21.03,-0.51
434,9,35,9,-19.02,21.03,-0.54
435,9,35,10,-20.19,21.78,-0.56
436,9,35,11,78.73,10.06,1.45
437,9,35,12,78.73,10.06,1.45
438,9,35,13,81.19,10.06,1.45
439,9,35,14,81.19,10.06,1.45
440,9,36,7,-17.43,21.03,-0.51
441,9,36,8,-17.43,21.03,-0.51
442,9,36,9,-19.02,21.03,-0.54
443,9,36,10,78.73,10.06,1.45
444,9,36,11,78.73,10.06,1.45
445,9,36,12,81.19,10.06,1.45
446,9,36,13,81.19,10.06,1.45
447,9,36,14,81.19,10.06,1.45
448,9,37,7,-17.43,21.03,-0.51
449,9,37,8,-17.43,21.03,-0.51
450,9,37,9,81.32,10.06,1.43
451,9,37,10,78.73,10.06,1.45
452,9,37,11,78.73,10.06,1.45
453,9,37,12,81.19,10.06,1.45
454,9,37,13,81.19,10.06,1.45
455,9,37,14,83.30,10.06,1.47
456,9,38,7,-17.43,21.03,-0.51
457,9,38,8,81.32,10.06,1.43
458,9,38,9,78.73,10.06,1.45
459,9,38,10,78.73,10.06,1.45
460,9,38,11,78.73,10.06,1.45
461,9,38,12,81.19,10.06,1.45
462,9,38,13,81.19,10.06,1.45
463,9,38,14,75.66,10.06,1.54
464,9,39,7,84.89,10.06,1.43
465,9,39,8,81.32,10.06,1.43
466,9,39,9,78.73,10.06,1.45
467,9,39,10,78.73,10.06,1.45
468,9,39,11,78.73,10.06,1.45
469,9,39,12,81.19,10.06,1.45
470,9,39,13,81.19,10.06,1.45
471,9,39,14,75.66,10.06,1.54
472,9,40,7,84.89,10.06,1.43
473,9,40,8,81.32,10.06,1.43
474,9,40,9,78.73,10.06,1.45
475,9,40,10,78.73,10.06,1.45
476,9,40,11,81.19,10.06,1.45
477,9,40,12,81.19,10.06,1.45
478,9,40,13,83.30,10.06,1.47
479,9,40,14,75.66,10.06,1.54
480,10,21,7,82.02,10.06,1.41
481,10,21,8,74.49,10.06,1.49
482,10,21,9,73.63,10.06,1.50
483,10,21,10,73.63,10.06,1.50
484,10,21,11,73.63,10.06,1.50
485,10,21,12,74.30,10.06,1.52
486,10,21,13,71.77,10.06,1.55
487,10,21,14,71.77,10.06,1.55
488,10,22,7,74.49,10.06,1.49
489,10,22,8,74.49,10.06,1.49
490,10,22,9,73.63,10.06,1.50
491,10,22,10,73.63,10.06,1.50
492,10,22,11,72.63,10.06,1.54
493,10,22,12,72.63,10.06,1.54
494,10,22,13,-18.61,21.78,-0.53
495,10,22,14,-18.61,21.78,-0.53
496,10,23,7,74.49,10.06,1.49
497,10,23,8,74.49,10.06,1.49
498,10,23,9,74.49,10.06,1.49
499,10,23,10,73.63,10.06,1.50
500,10,23,11,72.63,10.06,1.54
501,10,23,12,-18.61,21.78,-0.53
502,10,23,13,-18.61,21.78,-0.53
503,10,23,14,-21.89,21.17,-0.57
504,10,24,7,74.49,10.06,1.49
505,10,24,8,74.49,10.06,1.49
506,10,24,9,74.49,10.06,1.49
507,10,24,10,-17.43,21.03,-0.51
508,10,24,11,-17.43,21.03,-0.51
509,10,24,12,-20.35,21.17,-0.55
510,10,24,13,-21.89,21.17,-0.57
511,10,24,14,-21.89,21.17,-0.57
512,10,25,7,74.49,10.06,1.49
513,10,25,8,74.49,10.06,1.49
514,10,25,9,-16.96,21.03,-0.52
515,10,25,10,-17.43,21.03,-0.51
516,10,25,11,-18.61,21.78,-0.53
517,10,25,12,-20.35,21.17,-0.55
518,10,25,13,-21.89,21.17,-0.57
519,10,25,14,-21.89,21.17,-0.57
520,10,26,7,74.49,10.06,1.49
521,10,26,8,-16.96,21.03,-0.52
522,10,26,9,-17.43,21.03,-0.51
523,10,26,10,-17.43,21.03,-0.51
524,10,26,11,-20.35,21.17,-0.55
525,10,26,12,-21.89,21.17,-0.57
526,10,26,13,-21.89,21.17,-0.57
527,10,26,14,-21.89,21.17,-0.57
528,10,27,7,-16.96,21.03,-0.52
529,10,27,8,-17.43,21.03,-0.51
530,10,27,9,-17.43,21.03,-0.51
531,10,27,10,-19.19,20.42,-0.53
532,10,27,11,-20.35,21.17,-0.55
533,10,27,12,-21.89,21.17,-0.57
534,10,27,13,-21.89,21.17,-0.57
535,10,27,14,-21.89,21.17,-0.57
536,10,28,7,-16.96,21.03,-0.52
537,10,28,8,-17.43,21.03,-0.51
538,10,28,9,-19.19,20.42,-0.53
539,10,28,10,-20.35,21.17,-0.55
540,10,28,11,-21.89,21.17,-0.57
541,10,28,12,-21.89,21.17,-0.57
542,10,28,13,-21.89,21.17,-0.57
543,10,28,14,-21.89,21.17,-0.57
544,10,29,7,-16.96,21.03,-0.52
545,10,29,8,-17.43,21.03,-0.51
546,10,29,9,-19.19,20.42,-0.53
547,10,29,10,-20.35,21.17,-0.55
548,10,29,11,-21.89,21.17,-0.57
549,10,29,12,-21.89,21.17,-0.57
550,10,29,13,-21.89,21.17,-0.57
551,10,29,14,-20.81,21.17,-0.56
552,10,30,7,-17.43,21.03,-0.51
553,10,30,8,-19.19,20.42,-0.53
554,10,30,9,-19.19,20.42,-0.53
555,10,30,10,-21.89,21.17,-0.57
556,10,30,11,-21.89,21.17,-0.57
557,10,30,12,-21.89,21.17,-0.57
558,10,30,13,-21.89,21.17,-0.57
559,10,30,14,-20.81,21.17,-0.56
560,10,31,7,-17.43,21.03,-0.51
561,10,31,8,-19.19,20.42,-0.53
562,10,31,9,-19.19,20.42,-0.53
563,10,31,10,-21.89,21.17,-0.57
564,10,31,11,-21.89,21.17,-0.57
565,10,31,12,-21.89,21.17,-0.57
566,10,31,13,-20.81,21.17,-0.56
567,10,31,14,-20.81,21.17,-0.56
568,10,32,7,-17.43,21.03,-0.51
569,10,32,8,-19.19,20.42,-0.53
570,10,32,9,-21.89,21.17,-0.57
571,10,32,10,-21.89,21.17,-0.57
572,10,32,11,-21.89,21.17,-0.57
573,10,32,12,-21.89,21.17,-0.57
574,10,32,13,-20.81,21.17,-0.56
575,10,32,14,-20.81,21.17,-0.56
576,10,33,7,-17.43,21.03,-0.51
577,10,33,8,-17.43,21.03,-0.51
578,10,33,9,-21.89,21.17,-0.57
579,10,33,10,-21.89,21.17,-0.57
580,10,33,11,-21.89,21.17,-0.57
581,10,33,12,-20.81,21.17,-0.56
582,10,33,13,-20.81,21.17,-0.56
583,10,33,14,73.63,10.06,1.52
584,10,34,7,-17.43,21.03,-0.51
585,10,34,8,-17.43,21.03,-0.51
586,10,34,9,-20.19,21.78,-0.56
587,10,34,10,-21.89,21.17,-0.57
588,10,34,11,-21.89,21.17,-0.57
589,10,34,12,-20.81,21.17,-0.56
590,10,34,13,81.19,10.06,1.45
591,10,34,14,75.66,10.06,1.54
592,10,35,7,-17.43,21.03,-0.51
593,10,35,8,-19.02,21.03,-0.54
594,10,35,9,-20.19,21.78,-0.56
595,10,35,10,-21.89,21.17,-0.57
596,10,35,11,-21.89,21.17,-0.57
597,10,35,12,81.19,10.06,1.45
598,10,35,13,81.19,10.06,1.45
599,10,35,14,75.66,10.06,1.54
