,vol_window,vol_roc_period,price_lookback,sma_window,return,dd,sharpe
421,25,4,8,21,-40.31,34.90,-1.10
422,25,4,8,28,-61.57,42.70,-2.02
423,25,4,8,35,-58.37,40.37,-2.18
424,25,4,9,14,-3.76,10.80,-0.15
425,25,4,9,21,-32.49,33.22,-1.33
426,25,4,9,28,-59.50,41.46,-2.12
427,25,4,9,35,-56.13,39.07,-2.31
428,25,4,10,14,-35.30,35.89,-1.10
429,25,4,10,21,-45.18,35.89,-1.54
430,25,4,10,28,-62.73,43.44,-1.97
431,25,4,10,35,-62.84,43.52,-1.97
432,25,5,5,14,-16.62,33.72,-0.36
433,25,5,5,21,-16.62,33.72,-0.36
434,25,5,5,28,-28.38,33.72,-0.71
435,25,5,5,35,-51.98,39.81,-1.65
436,25,5,6,14,-28.57,34.90,-0.75
437,25,5,6,21,-28.57,34.90,-0.75
438,25,5,6,28,-49.35,37.94,-0.84
439,25,5,6,35,-45.13,36.32,-0.83
440,25,5,7,14,10.03,4.21,0.59
441,25,5,7,21,-35.67,33.22,-1.10
442,25,5,7,28,-50.48,36.59,-1.07
443,25,5,7,35,-46.35,34.93,-1.07
444,25,5,8,14,7.58,5.28,0.43
445,25,5,8,21,-37.10,33.37,-1.11
446,25,5,8,28,-59.50,41.46,-2.12
447,25,5,8,35,-56.13,39.07,-2.31
448,25,5,9,14,-3.76,10.80,-0.15
449,25,5,9,21,15.47,3.70,0.53
450,25,5,9,28,-30.74,16.85,-8.62
451,25,5,9,35,-30.94,16.97,-9.24
452,25,5,10,14,47.15,46.15,0.67
453,25,5,10,21,47.15,46.15,0.67
454,25,5,10,28,1.90,6.41,-0.09
455,25,5,10,35,-26.30,16.98,-3.51
456,25,6,5,14,367.76,14.77,1.19
457,25,6,5,21,42.52,5.36,216.87
458,25,6,5,28,22.41,4.09,4.90
459,25,6,5,35,-0.11,13.80,-0.22
460,25,6,6,14,-32.76,34.90,-0.77
461,25,6,6,21,-32.76,34.90,-0.77
462,25,6,6,28,-49.35,37.94,-0.84
463,25,6,6,35,-55.32,41.27,-1.68
464,25,6,7,14,10.03,4.21,0.59
465,25,6,7,21,-29.16,33.22,-0.68
466,25,6,7,28,-45.47,36.59,-0.77
467,25,6,7,35,-51.90,39.20,-1.61
468,25,6,8,14,7.58,5.28,0.43
469,25,6,8,21,7.58,5.28,0.43
470,25,6,8,28,-30.74,16.85,-8.62
471,25,6,8,35,-30.94,16.97,-9.24
472,25,6,9,14,-3.76,10.80,-0.15
473,25,6,9,21,15.47,3.70,0.53
474,25,6,9,28,-32.82,18.04,-24.36
475,25,6,9,35,-32.82,18.04,-24.36
476,25,6,10,14,47.15,46.15,0.67
477,25,6,10,21,47.15,46.15,0.67
478,25,6,10,28,1.90,6.41,-0.09
479,25,6,10,35,-28.83,17.19,-4.53
480,25,7,5,14,42.52,5.36,216.87
481,25,7,5,21,42.52,5.36,216.87
482,25,7,5,28,22.41,4.09,4.90
483,25,7,5,35,-0.11,13.80,-0.22
484,25,7,6,14,18.59,4.21,6.08
485,25,7,6,21,18.59,4.21,6.08
486,25,7,6,28,-8.70,9.93,-0.52
487,25,7,6,35,-19.46,20.49,-5.15
488,25,7,7,14,10.03,4.21,0.59
489,25,7,7,21,21.16,4.21,622.73
490,25,7,7,28,-25.35,17.73,-6.17
491,25,7,7,35,-25.56,17.85,-5.90
492,25,7,8,14,15.76,5.28,16.73
493,25,7,8,21,15.76,5.28,16.73
494,25,7,8,28,-11.61,11.02,-0.58
495,25,7,8,35,-11.61,11.02,-0.58
496,25,7,9,14,-3.76,10.80,-0.15
497,25,7,9,21,15.47,3.70,0.53
498,25,7,9,28,15.47,3.70,0.53
499,25,7,9,35,-28.83,17.19,-4.53
500,25,7,10,14,47.15,46.15,0.67
501,25,7,10,21,47.15,46.15,0.67
502,25,7,10,28,1.90,6.41,-0.09
503,25,7,10,35,-26.30,16.98,-3.51
504,25,8,5,14,42.52,5.36,216.87
505,25,8,5,21,6.35,11.67,0.11
506,25,8,5,28,22.41,4.09,4.90
507,25,8,5,35,-18.31,19.94,-5.56
508,25,8,6,14,21.21,4.09,3.53
509,25,8,6,21,21.21,4.09,3.53
510,25,8,6,28,-25.35,17.93,-13.70
511,25,8,6,35,-25.56,18.05,-12.36
512,25,8,7,14,15.76,5.28,16.73
513,25,8,7,21,18.47,5.28,7.56
514,25,8,7,28,-9.54,11.02,-0.45
515,25,8,7,35,-9.54,11.02,-0.45
516,25,8,8,14,15.76,5.28,16.73
517,25,8,8,21,15.76,5.28,16.73
518,25,8,8,28,15.76,5.28,16.73
519,25,8,8,35,-5.16,10.34,-0.45
520,25,8,9,14,2.87,10.80,0.01
521,25,8,9,21,23.43,3.70,1.23
522,25,8,9,28,23.43,3.70,1.23
523,25,8,9,35,-3.45,10.32,-0.43
524,25,8,10,14,47.15,46.15,0.67
525,25,8,10,21,47.15,46.15,0.67
526,25,8,10,28,1.90,6.41,-0.09
527,25,8,10,35,1.90,6.41,-0.09
528,25,9,5,14,42.52,5.36,216.87
529,25,9,5,21,6.35,11.67,0.11
530,25,9,5,28,-1.17,13.00,-0.18
531,25,9,5,35,7.03,9.26,0.19
532,25,9,6,14,18.59,4.21,6.08
533,25,9,6,21,18.59,4.21,6.08
534,25,9,6,28,18.59,4.21,6.08
535,25,9,6,35,15.96,5.28,23.46
536,25,9,7,14,18.39,4.21,5.54
537,25,9,7,21,21.16,4.21,622.73
538,25,9,7,28,21.16,4.21,622.73
539,25,9,7,35,-21.63,17.19,-34.30
540,25,9,8,14,15.76,5.28,16.73
541,25,9,8,21,15.76,5.28,16.73
542,25,9,8,28,15.76,5.28,16.73
543,25,9,8,35,-2.82,10.32,-0.37
544,25,9,9,14,2.87,10.80,0.01
545,25,9,9,21,23.43,3.70,1.23
546,25,9,9,28,23.43,3.70,1.23
547,25,9,9,35,23.43,3.70,1.23
548,25,9,10,14,47.15,46.15,0.67
549,25,9,10,21,47.15,46.15,0.67
550,25,9,10,28,1.90,6.41,-0.09
551,25,9,10,35,1.90,6.41,-0.09
552,25,10,5,14,26.75,3.13,2.87
553,25,10,5,21,3.64,11.88,0.02
554,25,10,5,28,-1.17,13.00,-0.18
555,25,10,5,35,7.03,9.26,0.19
556,25,10,6,14,28.76,3.26,2.03
557,25,10,6,21,5.30,12.09,0.08
558,25,10,6,28,-3.23,12.79,-0.30
559,25,10,6,35,15.96,5.28,23.46
560,25,10,7,14,15.76,5.28,16.73
561,25,10,7,21,18.47,5.28,7.56
562,25,10,7,28,18.47,5.28,7.56
563,25,10,7,35,18.47,5.28,7.56
564,25,10,8,14,15.76,5.28,16.73
565,25,10,8,21,15.76,5.28,16.73
566,25,10,8,28,15.76,5.28,16.73
567,25,10,8,35,15.76,5.28,16.73
568,25,10,9,14,2.87,10.80,0.01
569,25,10,9,21,23.43,3.70,1.23
