,fast_period,slow_period,sig_period,return,dd,sharpe
452,9,37,11,-3.03,1.92,-2.35
453,9,37,12,-2.58,1.69,-2.59
454,9,37,13,-3.08,1.69,-3.51
455,9,37,14,-3.08,1.69,-3.51
456,9,38,7,-1.79,1.69,-3.31
457,9,38,8,-1.79,1.69,-3.31
458,9,38,9,-1.79,1.69,-3.31
459,9,38,10,-3.11,1.95,-2.31
460,9,38,11,-2.64,1.72,-2.56
461,9,38,12,-2.64,1.72,-2.56
462,9,38,13,-3.14,1.72,-3.44
463,9,38,14,-3.14,1.72,-3.44
464,9,39,7,-1.37,1.49,-4.04
465,9,39,8,-1.37,1.49,-4.04
466,9,39,9,-1.37,1.49,-4.04
467,9,39,10,-2.79,1.80,-2.47
468,9,39,11,-2.79,1.80,-2.47
469,9,39,12,-2.79,1.80,-2.47
470,9,39,13,-3.29,1.80,-3.27
471,9,39,14,-3.03,1.67,-3.57
472,9,40,7,-1.37,1.49,-4.04
473,9,40,8,-1.37,1.49,-4.04
474,9,40,9,-2.89,1.84,-2.42
475,9,40,10,-2.89,1.84,-2.42
476,9,40,11,-2.89,1.84,-2.42
477,9,40,12,-2.89,1.84,-2.42
478,9,40,13,-3.13,1.72,-3.44
479,9,40,14,-3.63,1.97,-2.95
480,10,21,7,-4.46,2.37,-3.42
481,10,21,8,-2.39,1.85,-10.64
482,10,21,9,-0.66,1.67,-3.93
483,10,21,10,-0.66,1.67,-3.93
484,10,21,11,-1.02,1.71,-5.12
485,10,21,12,-1.09,1.85,-4.87
486,10,21,13,-1.09,1.85,-4.87
487,10,21,14,-1.09,1.85,-4.87
488,10,22,7,-2.63,1.97,-11.01
489,10,22,8,-0.66,1.67,-3.93
490,10,22,9,-0.66,1.67,-3.93
491,10,22,10,-0.95,1.67,-5.47
492,10,22,11,-0.66,1.64,-7.55
493,10,22,12,-0.66,1.64,-7.55
494,10,22,13,-0.66,1.64,-7.55
495,10,22,14,-0.66,1.64,-7.55
496,10,23,7,-2.51,1.91,-9.01
497,10,23,8,-0.66,1.67,-3.93
498,10,23,9,-0.66,1.67,-3.93
499,10,23,10,-1.02,1.71,-5.12
500,10,23,11,-0.66,1.64,-7.55
501,10,23,12,-0.66,1.64,-7.55
502,10,23,13,-0.66,1.64,-7.55
503,10,23,14,-1.30,1.65,-4.23
504,10,24,7,-2.51,1.91,-9.01
505,10,24,8,-0.66,1.67,-3.93
506,10,24,9,-0.95,1.67,-5.47
507,10,24,10,-1.02,1.71,-5.12
508,10,24,11,-0.66,1.64,-7.55
509,10,24,12,-0.66,1.64,-7.55
510,10,24,13,-0.66,1.64,-7.55
511,10,24,14,-1.30,1.65,-4.23
512,10,25,7,-1.36,1.75,-2.85
513,10,25,8,-0.66,1.67,-3.93
514,10,25,9,-1.02,1.71,-5.12
515,10,25,10,-1.02,1.71,-5.12
516,10,25,11,-0.66,1.64,-7.55
517,10,25,12,-0.66,1.64,-7.55
518,10,25,13,-0.66,1.64,-7.55
519,10,25,14,-2.31,2.09,-2.78
520,10,26,7,-3.23,2.15,-1.93
521,10,26,8,1.42,2.82,-2.98
522,10,26,9,-1.02,1.71,-5.12
523,10,26,10,-1.02,1.71,-5.12
524,10,26,11,-0.66,1.64,-7.55
525,10,26,12,-0.66,1.64,-7.55
526,10,26,13,-0.66,1.64,-7.55
527,10,26,14,-2.82,2.09,-3.89
528,10,27,7,0.84,3.09,-10.34
529,10,27,8,-1.15,1.77,-4.65
530,10,27,9,-1.02,1.71,-5.12
531,10,27,10,-1.02,1.71,-5.12
532,10,27,11,-0.66,1.64,-7.55
533,10,27,12,-0.66,1.64,-7.55
534,10,27,13,-2.31,2.09,-2.78
535,10,27,14,-2.94,2.15,-3.70
536,10,28,7,-1.36,1.75,-2.85
537,10,28,8,-1.15,1.77,-4.65
538,10,28,9,-1.15,1.77,-4.65
539,10,28,10,-1.02,1.71,-5.12
540,10,28,11,-0.66,1.64,-7.55
541,10,28,12,-0.66,1.64,-7.55
542,10,28,13,-2.44,2.15,-2.69
543,10,28,14,-2.94,2.15,-3.70
544,10,29,7,-1.36,1.75,-2.85
545,10,29,8,-1.15,1.77,-4.65
546,10,29,9,-1.15,1.77,-4.65
547,10,29,10,-0.78,1.70,-6.45
548,10,29,11,-0.78,1.70,-6.45
549,10,29,12,-1.80,2.11,-3.30
550,10,29,13,-2.94,2.15,-3.70
551,10,29,14,-2.94,2.15,-3.70
552,10,30,7,-0.87,1.77,-3.50
