,pfast,pmid,pslow,return,dd,sharpe
530,5,14,31,-9.54,4.94,-2.96
531,5,14,32,-5.83,3.68,-2.08
532,5,14,33,-5.59,3.68,-1.93
533,5,14,34,-5.59,3.68,-1.93
534,5,14,35,-5.59,3.68,-1.93
535,5,14,36,-5.59,3.68,-1.93
536,5,14,37,-5.59,3.68,-1.93
537,5,14,38,-5.59,3.68,-1.93
538,5,14,39,-5.59,3.68,-1.93
539,5,14,40,-5.59,3.68,-1.93
540,5,15,21,-8.17,4.47,-3.38
541,5,15,22,-7.53,4.50,-4.01
542,5,15,23,-6.45,4.12,-7.49
543,5,15,24,-6.12,3.11,-6.19
544,5,15,25,-4.74,3.89,-51.86
545,5,15,26,-4.74,3.89,-51.86
546,5,15,27,-7.78,4.12,-4.19
547,5,15,28,-7.78,4.12,-4.19
548,5,15,29,-7.50,3.82,-4.04
549,5,15,30,-6.12,3.11,-6.19
550,5,15,31,-6.12,3.11,-6.19
551,5,15,32,-7.50,3.82,-4.04
552,5,15,33,-7.50,3.82,-4.04
553,5,15,34,-7.50,3.82,-4.04
554,5,15,35,-6.92,3.53,-21.72
555,5,15,36,-6.92,3.53,-21.72
556,5,15,37,-5.43,2.76,-9.14
557,5,15,38,-5.43,2.76,-9.14
558,5,15,39,-5.43,2.76,-9.14
559,5,15,40,-5.55,2.82,-8.28
560,5,16,21,-5.07,4.22,-21.45
561,5,16,22,-7.60,4.50,-3.93
562,5,16,23,-0.23,2.21,-0.96
563,5,16,24,-3.58,2.97,-2.23
564,5,16,25,-3.51,2.97,-2.25
565,5,16,26,-3.49,2.95,-2.23
566,5,16,27,-3.56,2.90,-2.31
567,5,16,28,-3.56,2.90,-2.31
568,5,16,29,-3.28,3.00,-2.61
569,5,16,30,-7.39,4.49,-4.16
570,5,16,31,-3.49,2.83,-2.14
571,5,16,32,-3.49,2.83,-2.14
572,5,16,33,-1.91,2.83,-3.10
573,5,16,34,-1.91,2.83,-3.10
574,5,16,35,-2.03,3.00,-2.98
575,5,16,36,-0.93,2.88,-5.33
576,5,16,37,-0.98,3.04,-5.09
577,5,16,38,-0.71,2.88,-6.70
578,5,16,39,-3.08,2.88,-5.07
579,5,16,40,-3.54,3.23,-8.03
580,5,17,21,-3.74,3.16,-0.95
581,5,17,22,-5.92,3.02,-6.92
582,5,17,23,-0.09,2.21,-0.90
583,5,17,24,-2.24,2.53,-2.51
584,5,17,25,-3.51,2.97,-2.25
585,5,17,26,-3.49,2.95,-2.23
586,5,17,27,-3.56,2.90,-2.31
587,5,17,28,-3.18,2.95,-2.48
588,5,17,29,-3.28,3.00,-2.61
589,5,17,30,-7.39,4.49,-4.16
590,5,17,31,-3.49,2.83,-2.14
591,5,17,32,-3.49,2.83,-2.14
592,5,17,33,-1.91,2.83,-3.10
593,5,17,34,-1.91,2.83,-3.10
594,5,17,35,-0.93,2.88,-5.33
595,5,17,36,-0.93,2.88,-5.33
596,5,17,37,-0.98,3.04,-5.09
597,5,17,38,-0.71,2.88,-6.70
598,5,17,39,-0.71,2.88,-6.70
599,5,17,40,-1.04,2.87,-4.86
600,5,18,21,-9.09,4.66,-3.21
601,5,18,22,-5.92,3.02,-6.92
602,5,18,23,-1.13,3.26,-0.92
603,5,18,24,-2.16,2.51,-2.39
604,5,18,25,-1.62,2.31,-1.81
605,5,18,26,-3.49,2.95,-2.23
606,5,18,27,-3.18,2.95,-2.48
607,5,18,28,-3.18,2.95,-2.48
608,5,18,29,-3.66,3.01,-2.42
609,5,18,30,-3.66,3.01,-2.42
610,5,18,31,-3.49,2.83,-2.14
611,5,18,32,-3.49,2.83,-2.14
612,5,18,33,-1.91,2.83,-3.10
613,5,18,34,-1.91,2.83,-3.10
614,5,18,35,-0.93,2.88,-5.33
615,5,18,36,-0.71,2.88,-6.70
616,5,18,37,-0.71,2.88,-6.70
617,5,18,38,-0.71,2.88,-6.70
618,5,18,39,-1.04,2.87,-4.86
619,5,18,40,-1.04,2.87,-4.86
620,5,19,21,-9.09,4.66,-3.21
621,5,19,22,-1.13,3.26,-0.92
622,5,19,23,-1.24,3.32,-0.92
623,5,19,24,2.39,2.72,-0.22
624,5,19,25,-2.16,2.51,-2.39
625,5,19,26,-1.48,2.26,-1.69
626,5,19,27,-3.18,2.95,-2.48
627,5,19,28,-3.28,3.00,-2.61
628,5,19,29,-6.76,4.60,-9.81
629,5,19,30,-6.71,4.57,-9.46
630,5,19,31,-3.49,2.83,-2.14
631,5,19,32,-1.91,2.83,-3.10
632,5,19,33,-1.91,2.83,-3.10
