,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
263,5,21,2,10,15,40,43.04,10.94,0.72
264,5,21,2,10,15,45,32.62,11.75,0.53
265,5,21,2,15,15,25,41.53,11.23,0.52
266,5,21,2,15,15,30,39.47,12.80,0.49
267,5,21,2,15,15,35,42.05,13.28,0.53
268,5,21,2,15,15,40,31.16,14.31,0.47
269,5,21,2,15,15,45,22.62,14.67,0.35
270,5,21,2,20,15,25,46.48,9.74,0.59
271,5,21,2,20,15,30,43.58,11.62,0.55
272,5,21,2,20,15,35,46.20,12.09,0.59
273,5,21,2,20,15,40,35.13,13.16,0.54
274,5,21,2,20,15,45,26.24,13.53,0.40
275,5,21,2,25,15,25,56.87,8.01,0.68
276,5,21,2,25,15,30,54.64,10.52,0.65
277,5,21,2,25,15,35,57.46,11.31,0.69
278,5,21,2,25,15,40,36.72,12.50,0.62
279,5,21,2,25,15,45,25.24,13.08,0.42
280,5,21,2,10,20,25,64.33,6.08,0.81
281,5,21,2,10,20,30,60.49,8.37,0.75
282,5,21,2,10,20,35,60.84,9.76,0.76
283,5,21,2,10,20,40,34.94,10.87,0.55
284,5,21,2,10,20,45,32.45,11.67,0.52
285,5,21,2,15,20,25,41.73,11.24,0.52
286,5,21,2,15,20,30,39.60,12.73,0.49
287,5,21,2,15,20,35,42.18,13.21,0.53
288,5,21,2,15,20,40,23.72,14.24,0.35
289,5,21,2,15,20,45,22.47,14.60,0.34
290,5,21,2,20,20,25,46.38,9.74,0.58
291,5,21,2,20,20,30,43.84,11.55,0.54
292,5,21,2,20,20,35,46.26,12.03,0.58
293,5,21,2,20,20,40,27.46,13.09,0.41
294,5,21,2,20,20,45,26.07,13.45,0.40
295,5,21,2,25,20,25,56.66,8.08,0.68
296,5,21,2,25,20,30,54.64,10.52,0.65
297,5,21,2,25,20,35,57.42,11.30,0.69
298,5,21,2,25,20,40,28.04,12.50,0.44
299,5,21,2,25,20,45,25.24,13.08,0.42
300,5,21,3,10,10,25,53.91,6.64,0.75
301,5,21,3,10,10,30,48.76,8.63,0.67
302,5,21,3,10,10,35,49.09,10.03,0.68
303,5,21,3,10,10,40,39.83,11.12,0.64
304,5,21,3,10,10,45,38.34,11.93,0.64
305,5,21,3,15,10,25,41.89,9.60,0.56
306,5,21,3,15,10,30,38.20,11.00,0.50
307,5,21,3,15,10,35,40.76,11.49,0.54
